account_open_date,age,location,occupation,income_level,fico_score,delinquency_status,charge_off_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,earliest_credit_account,recent_trade_activity,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag
8/14/2023,64,Chicago,Consultant,14664,404,94,FALSE,6,1.654957492,TRUE,9054.818549,2250.89699,4,2,11/16/2016,1/28/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
5/8/2021,52,San Francisco,Teacher,46058,463,0,FALSE,1,1.869903907,TRUE,54543.64821,49795.90929,4,1,3/31/2018,7/21/2024,4,TRUE,TRUE,FALSE,FALSE,FALSE
11/18/2022,31,San Francisco,Banker,7562,625,0,FALSE,1,0.797178473,TRUE,85478.53112,57789.05349,0,0,9/23/2022,9/12/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
4/13/2023,34,Houston,Lawyer,62149,656,0,TRUE,1,2.045855183,FALSE,59473.70847,50679.73544,0,0,12/27/2016,7/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
7/30/2021,53,Seattle,Teacher,42860,573,104,TRUE,3,0.887575449,TRUE,30881.11762,6621.466708,4,2,11/20/2021,11/3/2023,2,FALSE,TRUE,TRUE,FALSE,FALSE
4/16/2020,67,Los Angeles,Consultant,2847,684,0,TRUE,1,2.151687792,TRUE,109849.7611,75397.37966,0,0,8/5/2023,3/11/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/26/2022,57,Seattle,Engineer,58602,702,0,FALSE,1,1.137410524,TRUE,44874.61061,30543.64168,0,0,8/4/2022,9/14/2024,0,FALSE,,FALSE,FALSE,FALSE
4/26/2020,21,Dallas,Other,6505,548,0,FALSE,1,0.933293724,FALSE,11538.21983,10090.47101,2,1,6/10/2023,12/10/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
1/13/2021,19,Dallas,Other,7781,508,0,FALSE,2,1.725031373,FALSE,23223.59492,17100.74747,2,0,5/14/2015,11/22/2023,1,FALSE,,FALSE,FALSE,FALSE
5/11/2020,23,Houston,Consultant,13645,576,0,FALSE,1,1.284141949,FALSE,90956.74137,74494.27503,2,0,12/23/2015,10/6/2024,2,FALSE,,TRUE,FALSE,TRUE
3/24/2024,71,Chicago,Engineer,5467,509,0,FALSE,1,0.822650729,FALSE,22862.14809,16287.25089,,1,5/8/2023,10/23/2024,4,FALSE,FALSE,TRUE,FALSE,TRUE
1/6/2021,59,Boston,Banker,2643,560,4,FALSE,1,1.085378947,FALSE,87628.94729,49546.3598,2,0,4/10/2024,7/6/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
6/6/2023,21,Atlanta,Software Developer,8643,597,0,FALSE,1,0.824489384,FALSE,66483.1484,58029.23607,2,0,7/15/2023,7/9/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
6/17/2024,71,Miami,Retail Worker,16913,737,0,TRUE,1,1.074537599,FALSE,91218.26243,74040.85685,0,0,4/23/2022,12/22/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/10/2024,46,San Francisco,Artist,9841,357,104,TRUE,4,0.682426857,FALSE,5922.185914,2911.514098,4,1,7/9/2017,12/19/2023,4,TRUE,,TRUE,TRUE,TRUE
11/12/2020,35,Miami,Banker,4765,,91,TRUE,8,1.629861032,TRUE,37565.33744,15732.07374,4,2,6/5/2021,4/16/2024,4,TRUE,,TRUE,FALSE,TRUE
5/29/2024,43,San Francisco,Accountant,55000,769,0,FALSE,1,1.307391752,FALSE,96068.92414,74974.51141,,0,5/7/2016,11/16/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/24/2023,61,New York,Accountant,42369,373,0,FALSE,1,1.294025328,FALSE,55234.41142,38645.62842,4,2,11/2/2014,10/10/2024,3,FALSE,FALSE,TRUE,FALSE,FALSE
10/12/2023,51,Houston,Other,48575,420,0,FALSE,1,1.191396439,FALSE,77769.37678,43475.20307,4,2,12/1/2017,9/1/2024,4,FALSE,FALSE,TRUE,FALSE,FALSE
11/9/2022,27,New York,Banker,7318,666,0,FALSE,1,1.355431085,FALSE,45030.16023,37956.2624,0,0,2/5/2021,10/28/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/2/2022,53,Miami,Other,5604,677,0,FALSE,1,1.173521392,FALSE,30660.44108,22129.80699,0,0,11/27/2017,4/10/2024,0,TRUE,FALSE,FALSE,TRUE,FALSE
2/29/2024,31,Atlanta,Consultant,96723,829,0,FALSE,1,2.144986396,FALSE,96868.35766,79261.43282,0,0,12/3/2021,12/14/2023,0,FALSE,FALSE,FALSE,FALSE,TRUE
1/4/2024,48,Miami,Other,6290,524,0,FALSE,1,0.768817495,FALSE,72590.20561,51335.95601,1,1,9/22/2023,1/3/2024,4,FALSE,FALSE,FALSE,FALSE,TRUE
9/19/2020,65,Los Angeles,Banker,7846,773,0,FALSE,1,1.038053495,FALSE,47580.91899,41119.26277,0,0,6/17/2018,8/4/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/25/2021,32,Houston,Other,3362,782,0,FALSE,1,1.173072951,FALSE,65602.06963,42224.86606,0,0,11/13/2020,4/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/2/2022,25,Seattle,Banker,5539,577,32,TRUE,3,2.431900689,TRUE,60916.99673,43485.7058,2,1,9/24/2023,12/24/2023,4,FALSE,,FALSE,FALSE,TRUE
11/13/2023,31,San Francisco,Consultant,13399,833,0,FALSE,1,0.982587046,FALSE,62543.72326,41325.11089,0,0,6/27/2021,7/12/2024,0,FALSE,FALSE,FALSE,TRUE,FALSE
12/4/2019,40,Houston,Engineer,84030,632,0,FALSE,1,1.428990008,FALSE,40043.41538,,,0,9/5/2020,9/3/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
8/31/2022,74,Boston,Other,3902,649,0,FALSE,1,1.356155392,FALSE,81110.77219,,0,0,12/20/2019,10/1/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
4/3/2024,57,New York,Teacher,40666,799,0,FALSE,1,1.512080364,FALSE,67044.80406,52239.65307,0,0,6/19/2015,8/18/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/12/2024,38,Houston,Other,9748,639,0,FALSE,1,1.690075013,TRUE,22542.17489,19027.09849,0,0,12/22/2018,1/17/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
8/1/2021,33,Chicago,Other,5501,574,0,FALSE,1,1.428609428,FALSE,44432.59572,29644.73097,2,1,12/12/2021,6/14/2024,2,FALSE,FALSE,FALSE,TRUE,FALSE
3/4/2021,62,Miami,Retail Worker,18437,554,52,FALSE,1,1.081621413,FALSE,26670.74466,16468.59908,2,1,4/18/2022,4/25/2024,2,FALSE,TRUE,TRUE,FALSE,FALSE
4/4/2021,35,Chicago,Doctor,66492,803,0,FALSE,1,0.707476602,FALSE,44519.89487,,0,0,11/12/2015,1/22/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
11/30/2022,64,Houston,Consultant,16945,446,90,TRUE,7,1.358279585,FALSE,37247.92004,19483.16193,3,2,3/7/2020,6/5/2024,3,FALSE,TRUE,FALSE,FALSE,TRUE
7/20/2020,70,Dallas,Lawyer,45465,840,0,FALSE,1,1.003688365,FALSE,51589.04993,42253.46504,0,0,11/19/2020,8/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/7/2023,41,Dallas,Other,5769,698,8,TRUE,1,1.311718866,FALSE,56593.82724,50639.71004,0,0,10/22/2022,7/16/2024,0,FALSE,,FALSE,FALSE,FALSE
2/29/2020,43,Boston,Teacher,30029,593,10,FALSE,1,1.382192411,TRUE,92220.33083,70327.805,2,1,9/3/2022,5/5/2024,2,TRUE,FALSE,FALSE,FALSE,FALSE
7/27/2023,42,Seattle,Teacher,54432,763,4,FALSE,1,0.638578591,FALSE,49218.33534,32667.75597,0,0,2/10/2022,6/4/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
12/8/2019,62,Boston,Other,8126,545,0,FALSE,1,1.314288165,FALSE,65027.5977,42284.85613,1,1,1/17/2018,11/19/2023,3,FALSE,FALSE,TRUE,FALSE,TRUE
1/2/2024,58,Seattle,Banker,6578,768,0,FALSE,1,0.807019525,FALSE,19543.43889,14209.88568,0,0,9/26/2015,5/24/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
3/16/2022,46,Atlanta,Other,9971,493,4,FALSE,1,1.338463338,FALSE,80687.90378,48442.03367,3,2,11/15/2017,10/10/2024,3,FALSE,FALSE,TRUE,FALSE,TRUE
8/1/2020,32,New York,Retail Worker,19371,595,0,FALSE,1,1.449401017,FALSE,65144.32028,46717.2059,2,0,7/8/2022,9/23/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
2/7/2022,62,Houston,Banker,6026,659,6,FALSE,1,0.811280774,FALSE,56971.81505,46838.23838,0,0,3/13/2017,1/16/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
1/31/2024,18,Chicago,Consultant,7735,560,0,FALSE,1,1.259400243,FALSE,29971.99973,26454.21855,1,0,9/1/2019,10/22/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
3/1/2022,42,Dallas,Banker,8300,560,91,TRUE,9,1.745743769,TRUE,32436.53933,14516.12714,3,2,10/10/2018,6/20/2024,2,TRUE,TRUE,TRUE,FALSE,FALSE
9/4/2024,24,Boston,Banker,2201,588,0,FALSE,1,1.777963015,FALSE,67478.71975,69761.42655,2,1,7/14/2017,10/28/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
12/29/2021,26,Los Angeles,Banker,9951,360,94,TRUE,2,0.903745975,TRUE,15407.13424,5915.622054,4,1,11/10/2022,10/5/2024,3,FALSE,,FALSE,FALSE,FALSE
6/12/2021,41,New York,Software Developer,25011,568,0,TRUE,1,1.368681038,FALSE,81611.16093,58485.30469,1,1,4/24/2022,8/2/2024,1,FALSE,FALSE,FALSE,FALSE,FALSE
7/23/2024,18,Los Angeles,Retail Worker,9664,741,0,FALSE,1,1.054041174,FALSE,35339.59942,26837.60354,0,0,6/14/2016,9/3/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
5/14/2021,61,Miami,Consultant,14046,798,0,FALSE,1,1.864024864,TRUE,47968.43095,31414.03573,0,0,6/13/2023,12/29/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
7/20/2023,25,Chicago,Software Developer,43346,588,0,FALSE,1,1.616664301,FALSE,73473.88422,47178.68287,2,1,11/10/2017,4/8/2024,1,FALSE,FALSE,FALSE,FALSE,TRUE
12/17/2020,41,Atlanta,Banker,8876,698,0,FALSE,1,1.270874272,FALSE,21888.49709,12528.008,0,0,12/26/2021,11/16/2023,0,FALSE,FALSE,TRUE,FALSE,FALSE
1/30/2024,28,Seattle,Software Developer,70802,502,97,TRUE,2,1.646160043,TRUE,5926.716327,1669.68055,,2,6/19/2016,2/18/2024,1,TRUE,TRUE,TRUE,TRUE,FALSE
3/7/2024,68,Los Angeles,Banker,4560,707,7,FALSE,1,1.20237105,FALSE,81738.44513,59905.63596,0,0,10/5/2018,2/20/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/16/2024,34,Miami,Consultant,14929,637,96,TRUE,10,3.225577796,FALSE,6541.280914,2036.483445,4,2,5/2/2016,9/1/2024,4,TRUE,FALSE,TRUE,FALSE,TRUE
7/18/2024,25,Atlanta,Doctor,30424,597,0,FALSE,1,1.471798075,TRUE,71935.0719,73740.09501,2,0,12/5/2020,11/14/2023,1,FALSE,FALSE,FALSE,FALSE,FALSE
4/5/2024,52,Seattle,Teacher,22855,404,103,TRUE,6,1.91416046,TRUE,22772.04675,7872.970417,4,2,9/14/2023,10/2/2024,4,TRUE,TRUE,FALSE,FALSE,TRUE
5/22/2022,52,Boston,Teacher,30007,811,0,FALSE,1,0.744916508,FALSE,64468.39435,42648.30052,0,0,3/27/2023,7/12/2024,0,FALSE,,TRUE,FALSE,FALSE
9/25/2024,50,Dallas,Banker,6357,632,0,FALSE,1,2.262618284,FALSE,28819.12343,24490.76333,0,0,9/30/2024,11/2/2023,0,FALSE,FALSE,FALSE,FALSE,FALSE
2/6/2020,22,Miami,Other,4109,410,61,FALSE,2,1.558996139,TRUE,11588.97694,6375.503492,4,1,12/10/2017,11/2/2023,4,TRUE,TRUE,TRUE,FALSE,FALSE
3/25/2020,59,Dallas,Teacher,22447,662,0,FALSE,1,1.533328837,FALSE,19232.69087,11856.23329,,0,2/11/2019,4/1/2024,0,FALSE,,FALSE,FALSE,FALSE
6/14/2023,56,New York,Consultant,14015,439,99,FALSE,3,2.369424069,TRUE,11211.22019,4676.532401,3,2,3/29/2019,12/4/2023,3,TRUE,TRUE,TRUE,FALSE,TRUE
5/15/2020,58,Los Angeles,Accountant,28502,598,0,FALSE,1,9.975929681,FALSE,43172.2826,39924.48825,2,1,11/2/2017,4/8/2024,2,FALSE,FALSE,FALSE,FALSE,FALSE
12/12/2020,45,Dallas,Artist,20596,452,61,TRUE,1,1.381636903,FALSE,25848.6901,16447.19473,3,2,7/8/2024,4/1/2024,3,FALSE,,TRUE,FALSE,FALSE
2/26/2022,24,Miami,Software Developer,9972,920,98,TRUE,6,1.472118147,TRUE,48457.39722,20263.84888,,2,10/5/2020,1/28/2024,3,TRUE,TRUE,TRUE,FALSE,FALSE
12/20/2019,26,Boston,Accountant,30227,758,0,FALSE,1,1.243550713,FALSE,62422.94386,43694.23645,0,0,8/27/2022,1/7/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
10/7/2021,25,Los Angeles,Artist,23823,694,0,FALSE,1,1.557976253,FALSE,90762.25999,65035.59364,0,0,12/10/2021,6/12/2024,0,FALSE,FALSE,TRUE,FALSE,FALSE
4/28/2021,29,Miami,Engineer,32655,717,0,FALSE,1,1.058549619,FALSE,58952.03141,45600.28378,0,0,4/2/2021,8/23/2024,0,FALSE,FALSE,FALSE,FALSE,FALSE
9/5/2023,51,Atlanta,Teacher,19973,718,0,FALSE,1,1.057365655,FALSE,34395.40464,22919.87637,0,0,10/25/2020,4/13/2024,0,FALSE,FALSE,FALSE,TRUE,FALSE
