age,income_level,fico_score,delinquency_status,number_of_credit_applications,debt_to_income_ratio,payment_methods_high_risk,max_balance,avg_balance_last_12months,number_of_delinquent_accounts,number_of_defaulted_accounts,new_accounts_opened_last_12months,multiple_applications_short_time_period,unusual_submission_pattern,applications_submitted_during_odd_hours,watchlist_blacklist_flag,public_records_flag,account_age_days,credit_history_length,location_encoded,occupation_encoded,charge_off_status
72,8791,506.0,0,1,2.26446036,0,16724.28963,12409.02973,2,0,2,0,0,1,0,0,100,1605,1,7,0
57,8047,360.0,99,4,1.505507814,0,19357.42057,7099.650721,3,2,4,0,1,0,0,0,798,1248,8,7,1
50,9214,501.0,0,1,0.825316946,0,75222.3836,64337.94936,2,1,2,0,0,1,0,0,98,1626,7,2,1
38,9056,459.0,0,1,1.47189723,0,41597.18309,29879.08072,3,2,3,0,1,1,0,0,119,2170,7,7,0
50,20151,734.0,0,1,0.831281861,0,43594.43401,33604.9079,0,0,0,0,0,0,0,0,1178,761,0,1,0
62,64418,773.0,0,1,0.994188225,0,55565.19296,41974.07291,0,0,3,0,0,0,1,0,121,32,9,4,0
53,79131,439.0,36,1,1.480713142,0,26516.69128,16426.62536,4,2,3,0,1,1,0,0,1858,211,7,4,0
31,22037,533.0,119,5,1.959442558,1,20609.68995,8617.430631,3,1,1,1,0,1,0,0,354,3205,6,1,1
51,8715,747.0,0,1,0.726155632,0,83479.25309,52097.7166,0,0,0,0,0,0,0,0,365,339,5,2,0
71,77001,716.0,0,1,2.139083678,1,40825.44204,25002.19763,0,0,3,0,0,0,0,1,1002,2725,7,9,0
27,45616,750.0,0,1,1.080538464,0,19034.26567,12813.11617,0,0,0,0,0,0,0,0,1312,3209,1,4,0
66,3150,460.0,0,1,2.037363547,1,83095.05322,56754.58213,3,2,3,0,0,1,0,0,1173,2950,0,7,0
19,50051,779.0,0,1,1.748936424,0,22374.98087,16590.75052,0,0,0,0,0,0,1,0,1407,270,9,9,0
39,16595,415.0,99,2,2.252710673,1,46517.54665,18840.52325,4,2,4,1,0,1,0,0,651,2367,3,3,1
70,16555,447.0,106,5,1.814129598,0,34571.89295,17579.11735,3,1,4,1,0,0,1,1,1576,2050,4,1,1
45,8419,394.0,112,2,0.99066671,0,8909.786408,1852.530357,3,1,4,0,1,1,0,0,841,3216,6,7,1
35,43212,548.0,0,1,0.704830252,0,58583.99426,39276.62871,1,0,1,0,0,0,0,0,645,861,2,10,0
53,25833,459.0,108,5,1.608885527,1,48547.78607,21859.07682,4,1,3,1,1,0,0,1,554,3227,5,0,1
47,48919,731.0,0,1,0.71837583,0,77397.00083,60485.94293,0,0,0,0,0,0,0,0,1856,3275,2,0,0
23,57626,567.0,0,1,1.435791188,1,92628.40941,66197.82956,1,1,2,1,0,0,0,0,656,2576,8,0,0
20,30514,578.0,0,1,1.386336126,0,58713.00744,49803.71996,1,1,1,0,0,0,0,0,1313,808,9,4,1
46,3182,447.0,112,3,2.721857782125,1,33181.5605,12065.9272,3,1,3,1,1,0,0,1,899,3023,2,7,1
70,5893,648.0,0,1,0.84892681,0,51894.7402,35195.2653,0,0,0,1,0,0,0,0,1191,187,2,7,0
63,31167,700.0,0,1,2.711225712,1,60324.8519,43140.69344,0,0,0,0,0,0,0,1,1389,484,4,10,0
28,49432,535.0,58,2,1.849350945,1,26452.92242,22025.58552,1,1,1,0,0,0,0,0,1320,106,6,10,1
53,2178,667.0,0,1,1.065793086,0,14409.74504,7683.64773,0,0,0,0,0,0,0,1,1191,2459,7,7,0
44,86669,778.0,0,1,1.004893335,0,34587.16436,27692.67058,0,0,0,0,0,0,0,0,1520,1959,8,4,1
42,14251,426.0,94,3,1.054588207,0,49290.1663,17437.6635,4,1,4,1,1,1,0,1,297,2814,4,3,1
49,36565,764.0,0,1,1.156730815,0,51115.47724,31040.93274,0,0,0,0,0,1,0,0,1314,491,3,0,0
26,67728,696.2,0,1,2.076674399,0,42539.09965,31915.55723,0,0,4,0,0,0,0,1,1070,2341,1,9,1
46,2017,795.0,0,1,1.269540531,0,70674.03716,57903.0056,0,0,0,0,0,0,0,0,1401,1451,4,2,0
21,26473,740.0,0,1,2.075164325,0,47418.14211,37017.748326,0,0,0,0,0,0,1,0,908,1520,3,0,0
42,5651,494.0,2,1,1.100581327,0,57581.45901,34164.40854,3,2,4,1,1,1,0,0,1209,2746,8,1,0
22,14398,802.0,0,1,0.754763254,0,22484.62764,17011.94743,0,0,0,0,0,1,0,0,982,2682,1,3,1
42,7637,769.0,0,1,0.978069371,0,42734.80966,33572.72509,0,0,0,1,0,0,0,0,1328,241,6,7,0
68,23035,766.0,2,1,1.834240192,0,13110.1504,13456.38255,0,0,0,0,0,0,0,1,994,735,8,10,0
18,43212,673.0,0,1,0.976985983,0,12829.11503,10185.23127,0,0,4,0,0,0,1,1,824,2776,8,10,0
43,6544,383.0,96,8,1.779251681,1,1496.077679,480.5587244,4,1,4,0,1,1,0,0,1746,3014,8,4,1
31,8172,727.0,0,1,1.252364827,0,16521.80838,13586.43821,0,0,0,0,0,0,0,0,110,-22,2,2,0
66,2641,521.0,0,1,1.123968664,0,55493.81491,50115.56686,1,1,2,0,0,0,0,0,1567,-171,1,7,1
30,19605,749.0,0,1,0.989928828,0,47222.97162,38380.50676,1,0,4,0,1,0,1,0,531,807,9,10,0
28,9276,694.0,0,1,1.37497232,0,26527.73192,19762.99588,0,0,0,1,0,0,1,0,1520,970,5,1,0
48,12225,656.0,3,1,1.245910887,0,32341.04209,26995.74473,0,0,0,0,0,0,0,1,997,24,8,1,0
23,35681,691.0,14,1,0.859260371,0,26125.85646,18602.46633,0,0,0,0,0,0,0,0,250,1780,2,0,1
31,2860,420.0,93,2,1.397728827,1,40252.93829,18457.84009,4,1,4,1,1,0,0,0,1339,3134,0,7,0
71,13009,611.0,0,1,0.996822747,0,78400.73838,66959.07411,0,0,0,0,0,1,0,0,922,1666,1,3,0
58,20719,819.0,0,1,0.985131059,0,51851.3018,32159.21482,0,0,0,0,0,0,0,0,1776,3315,4,1,0
37,22878,423.0,99,8,2.259646866,1,12899.5711,3658.875882,4,2,4,1,1,0,0,1,901,2639,1,10,0
45,44492,584.0,0,1,0.888412182,0,60740.23869,50408.14021,2,0,2,0,0,0,0,0,959,75,8,10,0
57,56302,399.0,109,5,1.017149943,0,43313.80802,9696.761794,4,1,4,0,1,0,0,0,53,3002,0,0,0
54,7016,750.0,0,1,1.612117302,0,28001.25666,17874.21898,0,0,0,0,0,0,1,0,1079,558,9,7,0
28,5344,577.0,0,1,0.833945837,0,60052.55978,40673.24345,1,1,1,0,0,1,0,0,754,3030,5,2,0
40,44954,684.0,0,1,1.784926041,0,36289.20699,27637.44065,0,0,4,0,0,0,0,1,1198,2342,0,6,0
26,38458,416.0,116,3,2.059637428,0,38304.16857,9406.671694,3,2,4,1,1,1,0,0,971,2623,7,0,1
38,17091,455.0,91,1,1.360136817,1,45266.39857,9704.939986,3,1,4,1,0,1,0,0,1363,3113,6,10,1
62,9425,696.0,0,1,1.101679265,0,60775.32166,47809.79673,0,0,0,1,1,1,0,0,1292,633,8,7,0
30,59113,576.0,8,1,1.178793546,0,47146.19868,42422.15569,2,0,2,0,0,0,0,0,1126,750,7,4,0
45,5216,844.0,0,1,1.246778152,0,65171.99543,48398.48014,0,0,3,0,0,0,0,1,1431,1921,9,2,0
40,3944,606.0,0,1,2.218710496,0,24687.29226,18934.58828,0,0,0,0,0,1,0,0,1414,2835,6,7,1
61,7423,714.0,10,1,1.820369112,0,58055.27183,46396.82484,0,0,0,0,0,1,0,0,604,3316,0,7,0
36,77310,689.0,0,1,1.674201313,0,53083.16912,35947.3282458,0,0,4,0,0,1,0,1,222,2056,8,4,0
39,2598,555.0,0,1,0.890301367,0,19496.30853,17175.29641,1,1,2,0,0,1,1,0,1565,2423,4,2,0
26,4731,655.0,6,1,0.850877975,1,55019.76731,43546.80935,0,0,0,0,0,1,0,0,154,2286,0,3,1
68,8681,544.0,0,1,1.047202105,0,17848.38518,12365.40578,1,1,1,0,0,0,1,0,454,1430,8,8,0
31,43835,702.0,0,1,0.943973923,0,51657.18985,34528.04067,0,0,0,1,0,0,0,0,735,2666,8,9,0
58,6417,530.0,115,10,2.011173232,1,38775.60261,16469.59573,4,1,1,1,0,1,0,0,1251,1816,3,7,1
18,25537,446.0,0,1,0.551634291,0,35558.35657,32285.72573,4,2,4,0,0,0,0,0,1833,1801,0,0,0
19,8101,619.0,0,1,1.27300116,0,103742.9032,86291.87738,0,0,0,0,0,0,0,0,1230,3572,2,2,0
60,39596,428.0,0,1,1.598070176,0,74954.42491,54549.61532,3,1,4,0,1,1,0,0,1307,2098,6,0,0
72,7404,541.0,90,2,2.367725489,1,6352.938995,1867.2734,4,1,1,1,1,1,0,0,1480,2133,7,7,1
51,30203,730.0,0,1,0.970702338,1,49598.82499,30751.76984,0,0,0,0,0,0,0,0,1273,2721,2,0,0
30,35217,568.0,22,1,1.080459222,0,97644.47898,54260.83157,2,1,1,0,0,0,0,0,456,1346,2,10,0
55,85858,650.0,0,1,1.565354811,0,36686.61491,24067.36331,0,0,0,0,0,0,0,0,1324,186,6,4,0
43,39761,442.0,115,2,2.308867718,1,20411.45359,11543.56419,4,2,3,1,1,1,0,1,1485,980,2,0,1
28,37166,515.0,115,1,1.572813207,1,22476.15907,10534.28106,4,2,4,1,1,1,1,1,930,2371,8,0,1
24,3428,622.0,0,1,0.865457697,0,76331.13107,44942.21308,0,0,0,0,0,0,0,0,578,3173,1,2,0
45,5450,361.0,109,3,1.128788884,1,29873.95235,6115.999438,3,1,3,1,1,1,1,1,838,2874,7,2,1
47,31907,452.0,0,1,1.158258353,1,69633.23174,53574.36664,3,1,4,0,0,0,0,0,1266,2769,2,10,0
54,7305,589.0,0,1,1.198156964,0,25357.02919,17676.91875,0,0,1,1,0,0,0,0,940,1417,8,6,0
39,13401,362.0,92,3,1.652423991,1,37187.87206,8338.266096,4,2,3,1,0,0,0,0,744,2225,5,3,1
43,2012,651.0,0,1,1.389299305,0,42845.27688,25173.7046,0,0,0,0,0,0,1,0,1825,299,7,4,0
60,5839,644.0,0,1,0.81961355,0,39150.94915,27644.2809,0,0,0,0,0,0,0,0,1754,782,3,7,0
41,75326,758.0,0,1,1.523671883,0,53912.2686,43373.46176,0,0,0,0,0,1,0,0,140,534,8,5,0
62,44209,673.0,0,1,1.248844247,1,57645.27118,48242.83055,0,0,0,0,0,0,0,0,754,1609,6,9,0
26,7105,357.0,112,10,2.33849548,0,31978.42616,14178.28403,3,2,4,1,1,1,0,1,161,-233,8,4,1
54,6797,762.0,0,1,1.099036239,0,91311.03062,58771.2827,0,0,0,0,0,0,0,0,1829,558,4,2,0
55,6689,816.0,0,1,0.922353827,0,66231.19397,49037.69792,0,0,0,0,0,0,0,0,1026,1188,5,2,0
38,19858,582.0,0,1,1.247786815,1,23343.26976,21732.64577,1,1,2,0,0,0,1,0,1744,1088,6,0,0
31,16239,808.0,0,1,1.346500827,0,90895.00232,52509.55732,0,0,0,0,0,0,0,0,1540,1736,2,6,0
19,60279,340.0,118,1,1.754098342,1,2635.750726,894.4422355,3,1,3,1,1,0,0,0,1065,588,9,9,0
69,7974,592.0,0,1,0.552291639,0,17507.86703,14832.3843,2,1,1,0,0,0,0,0,1242,1247,4,7,0
52,68266,787.0,0,1,1.660118057,0,82734.21431,53670.97396,0,0,0,0,0,0,0,0,384,2903,7,4,0
27,52004,626.0,0,1,1.132940883,0,72755.9068,42059.953797999995,0,0,0,1,0,0,0,0,1234,1964,4,0,0
22,7339,628.0,112,2,2.49426071,1,27953.10909,8264.44918,3,2,3,1,0,0,1,1,1819,1029,0,2,0
32,45452,524.0,0,1,1.776612832,0,16267.11753,11372.70284,2,0,3,1,0,0,1,0,1528,-253,9,5,1
70,35683,667.0,0,1,1.336026845,0,16551.31357,13932.05321,0,0,0,0,0,1,0,0,652,3287,1,5,0
46,8824,574.0,0,1,2.342938283,0,42774.75959,30662.52815,2,1,1,0,0,0,0,0,80,2414,6,7,1
42,19814,464.0,0,1,1.306145647,0,94079.19187,70046.35644,3,2,4,0,0,1,0,0,179,1249,6,0,0
22,23757,501.0,17,1,1.034418952,0,69922.45034,42044.60765,2,0,2,0,0,1,0,0,1393,1776,2,8,0
50,66493,529.0,0,1,1.121072948,0,30388.62518,17421.63925,2,0,2,0,0,0,0,1,796,2761,1,6,0
49,6516,830.0,0,1,1.508702117,0,38074.98051,31910.9291,0,0,0,0,0,0,1,1,1005,3465,6,2,0
23,5706,711.0,0,1,0.866222986,0,92506.86726,59279.32248,0,0,0,1,0,0,0,0,957,-71,8,7,1
67,14776,702.0,0,1,2.144485398,0,25234.6628,17461.57459,0,0,0,0,0,0,0,0,1266,-73,5,3,1
19,28746,480.9,110,5,1.080641377,1,5581.63612,2203.496118,3,2,3,1,1,1,0,0,1743,1999,6,0,1
20,9519,749.0,0,1,2.246315173,0,45618.04218,38518.34449,0,0,0,0,0,0,0,0,799,3379,9,7,1
18,9659,650.0,0,1,0.980610017,0,76690.27982,60651.72456,0,0,0,0,0,0,0,0,879,317,0,7,0
24,63282,714.0,0,1,1.294350447,1,87560.52267,53225.65068,0,0,0,0,0,0,0,0,488,-31,2,3,0
67,52562,563.0,0,1,1.285306523,0,44530.99795,31025.43427,1,1,2,0,0,0,0,0,1080,2444,4,10,0
46,22816,553.0,1,1,1.136984212,0,82122.08773,62845.26643,1,0,1,0,0,0,0,0,1444,251,6,10,0
55,3360,621.0,118,10,0.787757004,0,22094.95474,5503.567463,3,1,0,1,0,1,0,0,1536,821,5,7,1
64,9017,623.0,0,1,1.460224639,0,99363.59027,72678.85941,0,0,0,0,0,1,0,0,524,1590,2,2,0
71,19169,743.0,0,1,0.616837719,0,25881.45725,22419.79492,0,0,0,0,0,0,0,0,101,859,2,1,0
67,5357,746.0,0,1,0.987014714,0,25310.54079,23435.01233,0,0,0,0,0,0,0,0,1733,2760,2,2,0
54,16995,710.0,7,1,0.978602166,1,62368.50472,53739.6314,0,0,0,0,0,0,0,0,180,3302,6,7,0
74,9338,822.0,0,1,0.742890895,0,74162.06524,61916.24462,0,0,0,0,0,1,0,0,96,551,7,7,1
54,5140,462.0,0,1,2.721857782125,0,21577.69736,14151.3915,3,2,4,0,1,0,0,0,645,1179,9,2,0
37,19746,719.0,0,1,1.334308099,0,72161.8271,55652.47474,0,0,4,0,0,0,0,1,530,2004,5,10,0
56,9681,777.0,0,1,1.423036161,0,11202.28597,9953.750885,0,0,3,0,0,0,0,1,784,2041,9,7,0
73,69953,433.0,94,3,2.721857782125,1,6340.959614,9280.513727299998,3,1,4,1,1,1,0,0,274,2059,2,6,1
59,51287,759.0,0,1,2.173467106,0,85696.55158,34291.829866,0,0,0,0,0,0,1,0,1367,1957,1,0,0
45,4123,628.0,0,1,1.508200614,0,17047.98663,10083.65597,0,0,0,0,0,0,0,0,117,111,4,7,0
52,8146,626.0,0,1,1.120295022,0,55560.90575,42529.08901,0,0,0,0,0,0,0,0,1052,298,4,2,0
61,8307,523.0,0,1,1.856034945,0,40281.30287,30791.32626,2,0,1,0,0,0,0,0,802,2806,3,2,0
63,7515,727.0,0,1,0.948260928,0,63701.02301,51869.81556,0,0,4,0,1,0,0,1,987,2264,9,7,0
65,5249,697.0,15,1,0.79891381,1,84272.58926,73530.75348,0,0,0,0,0,0,0,0,1583,1106,3,2,0
36,13556,794.0,0,1,1.273935158,0,84576.69552,49461.05346,0,0,0,0,0,0,0,0,781,-102,0,1,0
49,14282,534.0,11,1,0.978046757,0,70898.5386,50896.62012,1,0,3,0,0,1,0,0,881,129,0,3,0
25,5969,616.0,0,1,0.806329374,0,45225.70862,33492.29253,0,0,0,0,0,0,0,0,516,1214,5,7,0
27,5958,645.0,0,1,1.088166916,0,24368.66487,15594.2751,0,0,0,0,0,0,1,0,623,1826,6,2,0
22,3426,490.0,0,1,1.449712146,0,93581.73044,80787.21118,3,1,3,1,0,1,0,0,217,2319,7,7,0
57,6259,780.0,0,1,0.867457107,0,77455.99164,44590.39035,0,0,4,0,0,0,0,1,676,1856,0,2,0
38,5918,445.0,119,8,0.861103483,1,27855.05255,11687.61974,4,1,4,1,0,1,0,0,1405,3071,8,4,0
73,58314,736.0,0,1,0.563867496,0,30704.26658,22101.73333,0,0,0,0,0,0,0,1,1329,2113,8,0,0
34,22973,595.0,0,1,1.32667685,0,91785.79565,59683.51568,2,0,1,1,0,1,0,0,55,582,6,0,1
64,8442,778.0,0,1,1.75892184,0,12146.93967,6897.284926,0,0,0,0,0,0,0,0,1547,1318,5,7,0
58,9313,798.0,0,1,1.925154978,1,75187.06478,55859.80661,0,0,0,0,0,1,0,0,1804,2592,9,2,0
41,35534,335.0,99,3,1.223981117,1,4600.663941,1225.113357,4,1,4,0,1,1,0,0,929,371,6,10,1
19,49499,639.0,16,1,1.178368571,0,46828.00347,27290.40571,0,0,0,1,0,0,0,0,643,3099,0,10,0
73,6205,802.0,18,1,1.098921631,0,73923.34877,60219.3346,0,0,0,0,0,0,0,1,1582,-34,6,2,0
73,19732,527.0,0,1,0.804797582,0,89189.35112,65790.20578,1,0,1,0,0,0,0,0,567,3248,4,0,1
23,6290,703.0,0,1,0.841872857,0,87024.77691,32733.0401458,0,0,0,0,0,0,0,0,411,921,2,8,0
71,4341,377.0,114,2,1.973315829,0,16270.38608,5634.200888,3,2,4,0,1,1,0,0,1698,1459,6,2,1
34,6413,703.0,0,1,1.476995457,0,96160.76307,71008.61264,0,0,0,0,0,0,0,1,350,2537,8,6,0
61,14046,798.0,0,1,1.864024864,1,47968.43095,31414.03573,0,0,0,0,0,0,0,0,1299,199,6,3,0
22,4582,511.0,113,1,2.553837287,0,31514.08271,17821.09886,3,2,3,0,1,0,0,1,1705,684,1,7,1
19,14985,790.0,26,1,1.385619971,1,84331.89661,56386.95153,0,0,0,0,0,1,0,0,345,1568,2,8,0
26,7966,738.0,0,1,1.202211171,0,90356.92635,74423.69095,0,0,0,0,0,0,0,0,1513,2118,2,7,0
69,6077,805.0,0,1,1.502463113,0,88908.41334,54305.30541,0,0,0,0,0,1,0,0,1234,2036,2,2,1
73,72011,726.0,0,1,1.469323365,0,88356.84933,75631.79889,0,0,0,0,0,0,0,0,1552,2136,3,6,1
42,9062,606.0,0,1,1.495414539,0,70660.3586,57545.47536,0,0,0,0,1,0,1,0,1836,3244,2,7,0
27,49378,802.0,0,1,0.944869308,0,48802.11705,33365.4622,0,0,0,0,0,0,0,1,407,2529,9,10,0
45,38116,734.0,58,2,1.645015242,0,29147.99584,20305.71157,2,0,0,1,1,1,0,0,334,2211,1,4,0
53,6252,464.0,0,1,2.12089755,0,88633.81129,65714.20226,4,2,3,1,1,0,0,1,421,3084,1,7,0
35,63688,710.0,0,1,1.300128253,0,82446.18949,49595.43922,0,0,0,0,0,0,0,0,1225,2081,4,6,0
73,16644,640.0,0,1,2.068455965,0,19640.91478,12458.57189,0,0,0,0,0,0,0,0,1280,3227,4,3,0
54,2075,761.0,0,1,0.826556667,0,92349.70963,76844.02508,0,0,0,0,0,0,0,0,223,401,4,7,0
58,23185,709.0,1,1,1.089078968,0,33794.17691,29843.5316,0,0,3,0,0,0,0,1,1331,1209,4,1,1
72,79555,350.0,96,6,2.721857782125,1,35656.24749,9703.98806,4,1,3,0,0,1,0,1,1389,2899,9,5,1
35,5721,520.0,115,6,2.324890245,1,38959.5222,12065.83011,4,2,2,0,1,1,0,0,913,618,6,8,1
39,19483,390.0,103,7,2.076530443,0,33171.33436,8860.2502,3,2,3,1,0,1,0,0,1605,600,8,8,1
36,4499,798.0,0,1,1.833190198,0,64910.63084,47404.01082,0,0,0,0,0,0,1,0,1536,2427,3,9,0
19,6510,759.0,0,1,1.456792412,1,34832.60167,30743.886,0,0,0,0,0,0,0,0,1031,2231,4,2,0
36,7875,727.0,0,1,0.921601474,0,69275.57424,58395.84693,0,0,0,0,0,0,0,0,1662,1840,3,2,0
46,15587,528.0,99,10,2.197809949,0,25224.07905,7608.936724,3,2,4,0,0,1,0,0,398,1644,6,1,1
22,27323,669.0,0,1,1.559791089,0,32469.21405,21467.43104,0,0,0,0,0,0,0,0,1487,1402,9,0,1
19,23327,582.0,0,1,1.321931138,0,11010.59522,8179.644029,2,1,2,0,0,0,0,0,1069,67,0,10,0
53,5411,623.0,0,1,0.843033611,0,32222.01298,20427.84677,0,0,0,0,0,1,0,0,1031,2608,1,7,0
70,32094,714.1,0,1,1.050766753,0,10170.99954,10311.44525,0,0,0,1,0,0,0,0,1638,1529,9,4,0
36,7684,635.0,0,1,0.97730772,1,15149.60392,10957.19608,0,0,4,0,0,0,1,0,910,2391,0,2,0
29,15874,728.0,0,1,0.551027019,0,73310.33927,47661.3376,0,0,0,0,0,0,0,0,842,2516,2,8,0
34,11628,384.0,98,4,1.435719011,1,20078.57276,9110.063318,1,1,4,1,1,0,0,0,1461,343,2,1,1
45,30367,432.0,99,4,1.444084021,0,34441.40765,11998.19573,4,2,4,1,1,1,0,1,1467,211,7,0,1
44,73761,425.0,119,1,2.721857782125,1,28646.53371,9714.000668,4,2,3,1,1,1,0,0,1032,2815,4,6,1
23,25527,510.0,44,1,1.423282119,0,31466.87498,25071.45048,0,1,2,1,0,1,0,0,1584,1495,4,10,0
63,19008,551.0,0,1,1.620907964,1,65644.56526,45080.55866,2,1,1,0,0,0,0,0,587,1917,0,8,0
61,28562,368.0,41,2,1.586726474,0,53115.28805,29873.99337,0,2,3,0,0,1,0,0,856,2848,1,10,0
42,36936,724.0,0,1,1.037187439,0,38066.99282,30356.08534,0,0,0,0,0,0,0,0,232,858,2,10,0
27,4062,557.0,16,1,1.491703236,0,84653.00341,74276.33279,1,1,2,0,0,0,0,0,524,2898,1,2,1
57,52710,650.0,0,1,1.65562531,0,46424.65007,32396.27026,0,0,0,0,0,0,1,0,1405,1357,2,9,1
46,41700,527.0,38,1,1.95895424,0,39084.4244,21462.92638,2,1,1,1,1,0,0,1,1180,231,0,10,0
22,7767,736.0,0,1,1.215564467,0,41720.96428,28974.70284,0,0,4,0,0,0,0,1,984,2045,5,7,1
53,55784,758.0,0,1,1.089878344,0,91381.13681,73733.8322,0,0,0,0,0,0,0,0,1423,154,6,9,1
33,55734,751.0,0,1,0.934188094,0,46500.49867,35343.87399,0,0,0,0,0,0,0,0,643,541,1,10,0
41,60800,522.0,61,1,2.409846101,0,33740.25691,19879.9955,1,1,3,0,0,1,0,1,1401,1951,2,5,1
35,14486,562.0,0,1,0.816227654,0,52485.57106,42444.78179,1,1,4,0,0,0,0,1,936,1878,0,3,0
52,13577,694.0,0,1,0.801725546,0,91192.97739,63517.69831,0,0,0,0,0,0,0,0,815,1148,1,3,0
34,15032,638.0,0,1,1.629699309,1,46907.9808,30821.92987,0,0,0,0,0,0,0,0,995,2752,7,3,0
72,15637,369.0,115,4,2.721857782125,0,45713.66933,19856.13637,3,2,4,1,0,0,0,0,1774,2072,3,3,1
48,5520,361.0,114,4,1.617216693,1,46748.00896,13575.922138500002,3,1,3,1,1,1,1,0,514,2822,0,6,0
23,8569,650.0,0,1,1.131825348,1,27072.21449,16184.01093,0,0,0,0,0,0,0,0,349,128,5,7,0
18,25695,696.0,0,1,1.189707885,0,19990.07376,11596.48325,0,0,0,1,0,0,0,0,1013,2626,5,0,0
27,44806,570.0,24,1,0.830191579,0,51126.67018,34159.4221,1,0,4,0,0,0,0,1,323,3428,3,8,0
70,53003,785.0,0,1,0.842848593,0,58062.55147,43624.0355,0,0,0,0,0,0,0,0,981,3269,4,3,0
32,53358,452.0,0,1,0.82615271,0,137149.23242375,20671.11028,3,1,4,0,0,1,1,0,810,492,1,0,0
33,41776,676.0,0,1,0.917517746,0,50201.40158,41973.54271,0,0,4,0,0,0,0,1,1620,-227,2,0,1
18,16876,666.0,0,1,0.984610886,0,45818.94158,27919.77121,0,0,0,0,0,0,0,0,1005,2476,6,3,0
43,2564,501.0,0,1,1.077794565,0,62760.11081,37169.91263,2,0,3,0,0,0,0,1,1488,2602,0,7,0
71,14139,358.0,100,5,2.721857782125,1,14302.95379,5918.15333,3,2,4,1,1,1,0,0,1348,1430,3,1,1
60,6108,523.0,0,1,1.337305335,0,29731.75547,25583.59286,0,0,1,0,0,0,0,0,543,-39,6,2,0
62,4908,811.0,0,1,0.627472044,0,73274.29549,49458.96781,0,0,0,0,0,0,0,0,1799,2840,0,9,0
28,9100,648.0,0,1,1.673976396,0,27204.73966,18570.19773,0,0,0,0,0,0,0,0,665,2729,7,2,0
37,76116,740.0,0,1,0.916728981,1,78938.04343,57656.97164,0,0,0,0,0,1,0,0,856,994,7,3,0
30,5617,790.0,0,1,0.9112106,0,56661.50788,40988.67711,0,0,0,1,0,0,0,0,1703,2287,7,2,0
22,2496,664.0,0,1,1.324199744,0,82475.19315,59678.27908,0,0,0,0,0,0,0,0,904,2288,8,7,0
39,3937,747.0,0,1,1.048952448,0,41904.50956,39056.30288,0,0,0,0,0,0,1,0,41,1779,3,7,0
55,37878,691.0,0,1,1.945571555,0,105050.8715,82689.20411,0,0,0,1,0,1,1,0,1237,604,5,10,0
64,4599,730.0,0,1,1.396391758,0,52858.76925,50298.6992,0,0,0,0,0,0,0,0,1485,566,1,7,0
56,2076,470.0,0,1,1.53193537,0,26383.31395,18765.93715,3,1,3,0,0,0,0,0,891,2605,1,7,1
30,16921,700.0,0,1,0.748305681,0,79590.35005,61669.52023,0,0,0,0,0,0,0,0,1803,557,6,3,0
46,7338,397.0,115,1,2.122573951,1,15824.75238,6121.155326,4,2,4,1,1,0,0,1,111,3424,1,2,1
27,43076,619.0,0,1,1.051244635,0,24448.4762,18046.79808,0,0,0,1,0,0,0,0,1118,1573,7,10,0
